"id","source","agency","title","opportunity_number","posted_date","close_date","deadline","url","final_score","keyword_score","semantic_score","matched_topics","high_priority","rationale","summary","eligibility","cost_share","contact","raw_tags"
"eu-HORIZON-JU-IHI-2025-11-01-two-stage","EU Portal","IHI","Innovative Health Initiative JU Call 11","HORIZON-JU-IHI-2025-11-two-stage","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-JU-IHI-2025-11-01-two-stage.json","6.71","11.18","0.0","Diagnostics, Neuroscience, Precision Medicine, EU Programmes","False","","Towards precision medicine: platform for transdiagnostic stratification of brain dysfunction","See call details","","",""
"eu-50140616","EU Portal","Horizon Europe","Supporting the implementation of the Cancer Mission","HORIZON-MISS-2027-02","","2027-09-21","2027-09-21","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-MISS-2027-02-CANCER-03","5.92","9.87","0.0","Therapeutics, Diagnostics, Cancer/Oncology","False","","Phase 1 including first-in-human clinical trials to test biomarker-guided medicines or multi-modal treatment interventions for patients with rare or very rare cancers or cancer subtypes","See call details","{'budgetYearsColumns': ['2027'], 'budgetTopicActionMap': {'113121': [{'action': 'HORIZON-MISS-2027-02-CANCER-03 - HORIZON-RIA HORIZON  Research and Innovation Actions', 'expectedGrants': 3, 'minContri","","HORIZON-MISS-2027-02-CANCER-03"
"eu-HORIZON-MISS-2023-CANCER-01-03","EU Portal","Horizon Europe","Research and Innovation actions supporting the implementation of the Mission on Cancer","HORIZON-MISS-2023-CANCER-01","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-MISS-2023-CANCER-01-03.json","5.92","9.87","0.0","Therapeutics, Diagnostics, Cancer/Oncology","False","","Pragmatic clinical trials on minimally invasive diagnostics","See call details","","",""
"eu-43108390101204115","EU Portal","MSCA","The gut-brain axis: Interactions between the gut microbiome and host behaviour and stress in the wild","HORIZON-MSCA-2024-PF-01","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/projects-details/43108390/101204115/HORIZON","5.53","9.21","0.0","Microbiome, Neuroscience","False","","The gut-brain axis: Interactions between the gut microbiome and host behaviour and stress in the wild","See call details","","",""
"eu-50146228","EU Portal","Horizon Europe","Call 01 - single stage (2026)","HORIZON-CL6-2026-01","","2026-09-17","2026-09-17","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL6-2026-01-CIRCBIO-07","4.34","7.24","0.0","Biomanufacturing, Cancer/Oncology","False","","Advancing the European bio-based innovation enabled by biotechnology and biomanufacturing concepts","See call details","{'budgetYearsColumns': ['2026'], 'budgetTopicActionMap': {'113249': [{'action': 'HORIZON-CL6-2026-01-CIRCBIO-07 - HORIZON-RIA HORIZON  Research and Innovation Actions', 'expectedGrants': 3, 'minContri","","HORIZON-CL6-2026-01-CIRCBIO-07"
"eu-EU4H-2024-PJ-02-3","EU Portal","EU4Health","EU4H Action Grants 2024","EU4H-2024-PJ-02","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/EU4H-2024-PJ-02-3.json","3.95","6.58","0.0","Cancer/Oncology, Rehabilitation, EU Programmes","False","","Call for proposals on the development of social services for psychosocial support and rehabilitation for children and their families in paediatric oncology clinics in Member States and countries associated to the EU4Health Programme - CR-g-24-43","See call details","","",""
"eu-43108390101062662","EU Portal","MSCA","Animal Cognition in Urban Environments: The effect of diet and the gut microbiome","HORIZON-MSCA-2021-PF-01","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/projects-details/43108390/101062662/HORIZON","3.95","6.58","0.0","Microbiome","False","","Animal Cognition in Urban Environments: The effect of diet and the gut microbiome","See call details","","",""
"eu-50136121","EU Portal","Horizon Europe","Supporting the implementation of the Cancer Mission","HORIZON-MISS-2026-02","","2026-09-15","2026-09-15","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-MISS-2026-02-CANCER-03","3.95","6.58","0.0","Therapeutics, Cancer/Oncology","False","","Pragmatic clinical trials to optimise immunotherapeutic interventions for patients with refractory cancers","See call details","{'budgetYearsColumns': ['2026'], 'budgetTopicActionMap': {'113063': [{'action': 'HORIZON-MISS-2026-02-CANCER-04 - HORIZON-RIA HORIZON  Research and Innovation Actions', 'expectedGrants': 3, 'minContri","","HORIZON-MISS-2026-02-CANCER-03"
"eu-399e3dae-d6dc-428e-9854-a84e40097783-PIN","EU Portal","EU Programme","Horizon Scanning System for Medical Devices &amp; In Vitro Diagnostic Medical Devices","HADEA/2024/OP/0024-PIN","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/399e3dae-d6dc-428e-9854-a84e40097783-PIN","3.95","6.58","0.0","Diagnostics, Medical Devices","False","","Horizon Scanning System for Medical Devices &amp; In Vitro Diagnostic Medical Devices","See call details","","",""
"eu-74ffa4e2-4bda-4465-bbfd-91bb8fe9f82c-CN","EU Portal","EU Programme","Call for expression of interest for medical device and in-vitro diagnostics medical devices experts (EXPAMED) and patient, consumer and healthcare professional experts (P&amp;HCP)","EMA/2024/CEI/0011","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/74ffa4e2-4bda-4465-bbfd-91bb8fe9f82c-CN","3.95","6.58","0.0","Diagnostics, Medical Devices","False","","Call for expression of interest for medical device and in-vitro diagnostics medical devices experts (EXPAMED) and patient, consumer and healthcare professional experts (P&amp;HCP)","See call details","","",""
